date,ticker,price
2024-01-01,AAPL,150.07174759169507
2024-01-02,AAPL,148.729055940904
2024-01-03,AAPL,150.55498020683277
2024-01-04,AAPL,149.2282593452804
2024-01-05,AAPL,149.4211810393239
2024-01-06,AAPL,147.44952640699358
2024-01-07,AAPL,148.67730371276878
2024-01-08,AAPL,149.18765534631459
2024-01-09,AAPL,149.74705534033515
2024-01-10,AAPL,148.81446215582253
2024-01-11,AAPL,149.37697808401302
2024-01-12,AAPL,147.75675396997897
2024-01-13,AAPL,146.9129293545916
2024-01-14,AAPL,146.26035679604234
2024-01-15,AAPL,146.81472010569777
2024-01-16,AAPL,146.93955120096717
2024-01-17,AAPL,147.93065774213778
2024-01-18,AAPL,148.27957531233622
2024-01-19,AAPL,148.73117864677687
2024-01-20,AAPL,148.89168720781308
