date,ticker,price
2024-01-01,AAPL,149.4493432739147
2024-01-02,AAPL,149.93460253720883
2024-01-03,AAPL,150.19836001439464
2024-01-04,AAPL,150.68364307814036
2024-01-05,AAPL,148.56213253408626
2024-01-06,AAPL,148.6279448088297
2024-01-07,AAPL,150.0773925732943
2024-01-08,AAPL,150.84644089919317
2024-01-09,AAPL,151.07906697082973
2024-01-10,AAPL,149.99274014389175
2024-01-11,AAPL,148.15410808345763
2024-01-12,AAPL,146.7971290447592
2024-01-13,AAPL,146.51079096689278
2024-01-14,AAPL,145.97753425840864
2024-01-15,AAPL,146.9244064026005
2024-01-16,AAPL,148.20464274835362
2024-01-17,AAPL,149.1696663670206
2024-01-18,AAPL,149.69703064603428
2024-01-19,AAPL,150.08278118692127
2024-01-20,AAPL,150.04830538972809
